id,question,option,next
q01,診察の目的を選んでください,保険科（皮膚診療）,q10
q01,診察の目的を選んでください,美容皮膚科（自由診療）,q20
q01,診察の目的を選んでください,美容外科（自由診療）,q40
q01,診察の目的を選んでください,スキンケア商品のお悩み,q60
q01,診察の目的を選んでください,その他,q80
q10,診察予約は完了していますか？,はい,q11
q10,診察予約は完了していますか？,いいえ,q12
q11,診察案内ページ,result,result
q12,予約ページ,result,result
q20,ご希望の施術は？,脱毛,q21
q20,ご希望の施術は？,しみ・美白,q22
q20,ご希望の施術は？,赤ら顔,q23
q20,ご希望の施術は？,にきび・にきび跡,q24
q20,ご希望の施術は？,毛穴・くすみ,q25
q20,ご希望の施術は？,たるみ,q26
q20,ご希望の施術は？,ほくろ・いぼ・そばかす,q27
q20,ご希望の施術は？,多汗症・ワキガ,q28
q20,ご希望の施術は？,ピアス（耳たぶ）,q29
q20,ご希望の施術は？,美容注射・点滴,q30
q20,ご希望の施術は？,AGA/FAGA,q31
q20,ご希望の施術は？,ED,q32
q20,ご希望の施術は？,入れ墨除去,q33
q20,ご希望の施術は？,その他,q34
q40,ご希望の施術は？,二重の整形,q41
q40,ご希望の施術は？,目頭の整形,q42
q40,ご希望の施術は？,目のたるみ整形,q43
q40,ご希望の施術は？,クマの整形,q44
q40,ご希望の施術は？,糸リフト,q45
q40,ご希望の施術は？,ヒアルロン酸,q46
q40,ご希望の施術は？,ピアス（へそ・耳軟骨など）,q47
q40,ご希望の施術は？,タトゥー除去,q48
q40,ご希望の施術は？,耳垂形成,q49
q40,ご希望の施術は？,傷跡修正,q50
q40,ご希望の施術は？,その他,q51
q60,どのように商品をお探しですか？,メーカー名から選ぶ,q61
q60,どのように商品をお探しですか？,お悩み・用途から選ぶ,q70
q61,メーカー名から選ぶ,プラスリストア,result
q61,メーカー名から選ぶ,セルニュープラス,result
q61,メーカー名から選ぶ,サンソリット,result
q61,メーカー名から選ぶ,ZOスキン,result
q61,メーカー名から選ぶ,ピュレアジー,result
q61,メーカー名から選ぶ,ジャンマリーニ,result
q70,お悩み・用途から選ぶ,シミ・肝斑,result
q70,お悩み・用途から選ぶ,ニキビ・ニキビ跡,result
q70,お悩み・用途から選ぶ,しわ・たるみ,result
q70,お悩み・用途から選ぶ,毛穴の開き・黒ずみ,result
q70,お悩み・用途から選ぶ,肌トーンアップ,result
q70,お悩み・用途から選ぶ,治療前後のケア,result
q70,お悩み・用途から選ぶ,乾燥肌・敏感肌,result
q70,お悩み・用途から選ぶ,日焼け止め,result
